lat,amenity,lon,name
30.5185356,grave_yard,-97.3408298,Beyersville Cemetery
30.6176923,grave_yard,-97.88307,Cedar Grove Cemetery
30.6669427,place_of_worship,-97.9066498,Highway 29 Church of Christ
30.4715832,grave_yard,-98.1886295,Fowler Cemetery
30.3827052,grave_yard,-97.6088921,Gregg Cemetery
30.5552009,place_of_worship,-97.3149959,Christ Church
30.6326978,grave_yard,-97.2444387,Hanks Cemetery
29.9766097,grave_yard,-97.414994,Hendrix Cemetery
30.4632514,grave_yard,-98.1027944,Haynie Flat Cemetery
30.5090837,grave_yard,-98.0441831,Hensel Cemetery
30.461584,place_of_worship,-98.1608511,Highway Seventyone Church
30.3796499,grave_yard,-97.5863914,Hill Cemetery
30.4935272,grave_yard,-98.1580738,Holloway Cemetery
30.4060357,school,-97.7888974,Hope House School
30.5524221,place_of_worship,-97.4522228,Immanuel Church
30.5774168,school,-97.8552915,Leander ISD Administration
30.472975,school,-97.9769588,Lago Vista School
30.4343665,place_of_worship,-97.8941782,Lakeview Church
30.412707,grave_yard,-97.2549927,Lawhon Springs Cemetery
30.4068739,school,-97.253326,Lawhon Springs School
30.3885395,place_of_worship,-97.4713881,Kimbro Church
30.4888155,school,-97.2380484,Lawrence School
29.9718875,grave_yard,-97.4413835,Lentz Cemetery
30.5251929,grave_yard,-98.1364073,Lewis Cemetery
30.6326913,place_of_worship,-97.9066819,Liberty Chapel
29.9988311,grave_yard,-97.4283278,Meridith Cemetery
30.589642,school,-97.5336149,Montadale School
30.5851987,school,-97.4266668,Northside School
30.4196462,place_of_worship,-97.7941756,Oak Grove Church
30.5226023,place_of_worship,-97.6463033,Palm Valley Church
30.3832632,school,-97.3144388,Pleasant Grove School
30.4411863,grave_yard,-97.5025256,Prairie Hill Cemetery
30.4340903,grave_yard,-97.7769532,Jollyville Cemetery
30.5699218,school,-97.3983323,Price School
30.6359585,grave_yard,-97.4453606,Gardner Cemetery
30.579912,grave_yard,-98.193354,Richland Cemetery
30.3954848,school,-97.3313839,Red Town School
30.4229822,place_of_worship,-97.5338904,Richland Church
30.5018597,grave_yard,-98.1972413,Rockvale Cemetery
29.9341117,grave_yard,-97.3111024,Rosanky Cemetery
30.393535,place_of_worship,-97.8750103,Saint Lukes Church
30.4954777,school,-97.6919518,Saint Williams School
30.4132552,grave_yard,-97.9694573,Simpson Cemetery
30.561311,school,-97.4102771,Southside School
30.4813084,place_of_worship,-97.9427914,South Jonestown Church
30.4988129,place_of_worship,-97.5063906,Swanson Grove Church
30.5718661,hospital,-97.4172218,The Johns Clinic
30.5779769,school,-97.4163886,Twelfth Street School
